promocion_id,promocion_desc
1,"Maker=0.095% y Taker=0.099% si volumen menor a 500,000 USD"
2,"Maker=0.090% y Taker=0.099% si volumen mayor a 500,000 USD"
3,"Maker=0.084% y Taker=0.099% si volumen mayor a 1,000,000 USD"
4,"Maker=0.080% y Taker=0.095% si volumen mayor a 1,500,000 USD"
5,"Maker=0.075% y Taker=0.090% si volumen mayor a 3,000,000 USD"
6,"Maker=0.069% y Taker=0.080% si volumen mayor a 5,000,000 USD"
7,"Maker=0.060% y Taker=0.069% si volumen mayor a 10,000,000 USD"
8,"Maker=0.050% y Taker=0.060% si volumen mayor a 15,000,000 USD"
9,"Maker=0.040% y Taker=0.050% si volumen mayor a 20,000,000 USD"
10,"Maker=0.030% y Taker=0.040% si volumen mayor a 30,000,000 USD"
11,"Maker=0.5% y Taker=0.65% si volumen menor 1,500,000 MXN"
12,"Maker=0.490% y Taker=0.637% si volumen mayor a 1,500,000 MXN"
13,"Maker=0.480% y Taker=0.624% si volumen mayor a 2,000,000 MXN"
14,"Maker=0.440% y Taker=0.572% si volumen mayor a 5,000,000 MXN"
15,"Maker=0.420% y Taker=0.545% si volumen mayor a 7,000,000 MXN"
16,"Maker=0.400% y Taker=0.520% si volumen mayor a 10,000,000 MXN"
17,"Maker=0.370% y Taker=0.481% si volumen mayor a 15,000,000 MXN"
18,"Maker=0.300% y Taker=0.389% si volumen mayor a 35,000,000 MXN"
19,"Maker=0.200% y Taker=0.260% si volumen mayor a 50,000,000 MXN"
20,"Maker=0.000% y Taker=0.130% si volumen mayor a 150,000,000 MXN"
